client,benchmark,iteration,value_ns,success,error,param_size,param_concurrency
aio-pika,round_trip,31,1167500,True,,256B,
aio-pika,round_trip,32,1193100,True,,256B,
aio-pika,round_trip,33,1210200,True,,256B,
aio-pika,round_trip,34,1161600,True,,256B,
aio-pika,round_trip,35,1183700,True,,256B,
aio-pika,round_trip,36,1160600,True,,256B,
aio-pika,round_trip,37,1199600,True,,256B,
aio-pika,round_trip,38,1164300,True,,256B,
aio-pika,round_trip,39,1158600,True,,256B,
aio-pika,round_trip,40,1157900,True,,256B,
aio-pika,round_trip,41,1164200,True,,256B,
aio-pika,round_trip,42,1151100,True,,256B,
aio-pika,round_trip,43,1149500,True,,256B,
aio-pika,round_trip,44,1165800,True,,256B,
aio-pika,round_trip,45,1153200,True,,256B,
aio-pika,round_trip,46,1193400,True,,256B,
aio-pika,round_trip,47,1170300,True,,256B,
aio-pika,round_trip,48,1151600,True,,256B,
aio-pika,round_trip,49,1184800,True,,256B,
aio-pika,round_trip,0,1245600,True,,1KB,
aio-pika,round_trip,1,1149200,True,,1KB,
aio-pika,round_trip,2,1175100,True,,1KB,
aio-pika,round_trip,3,1162700,True,,1KB,
aio-pika,round_trip,4,1190400,True,,1KB,
aio-pika,round_trip,5,1197400,True,,1KB,
aio-pika,round_trip,6,1168100,True,,1KB,
aio-pika,round_trip,7,1206900,True,,1KB,
aio-pika,round_trip,8,1166300,True,,1KB,
aio-pika,round_trip,9,1185700,True,,1KB,
aio-pika,round_trip,10,1378500,True,,1KB,
aio-pika,round_trip,11,1257100,True,,1KB,
aio-pika,round_trip,12,1174100,True,,1KB,
aio-pika,round_trip,13,1214400,True,,1KB,
aio-pika,round_trip,14,1169300,True,,1KB,
aio-pika,round_trip,15,1303600,True,,1KB,
aio-pika,round_trip,16,1248200,True,,1KB,
aio-pika,round_trip,17,1142600,True,,1KB,
aio-pika,round_trip,18,1207400,True,,1KB,
aio-pika,round_trip,19,1207200,True,,1KB,
aio-pika,round_trip,20,1273300,True,,1KB,
aio-pika,round_trip,21,1302500,True,,1KB,
aio-pika,round_trip,22,1254500,True,,1KB,
aio-pika,round_trip,23,1185500,True,,1KB,
aio-pika,round_trip,24,1202200,True,,1KB,
aio-pika,round_trip,25,1178400,True,,1KB,
aio-pika,round_trip,26,1138000,True,,1KB,
aio-pika,round_trip,27,1246900,True,,1KB,
aio-pika,round_trip,28,1166100,True,,1KB,
aio-pika,round_trip,29,1156100,True,,1KB,
aio-pika,round_trip,30,1213200,True,,1KB,
aio-pika,round_trip,31,1173900,True,,1KB,
aio-pika,round_trip,32,1187600,True,,1KB,
aio-pika,round_trip,33,1518000,True,,1KB,
aio-pika,round_trip,34,1177400,True,,1KB,
aio-pika,round_trip,35,1177700,True,,1KB,
aio-pika,round_trip,36,1169700,True,,1KB,
aio-pika,round_trip,37,1179900,True,,1KB,
aio-pika,round_trip,38,1227500,True,,1KB,
aio-pika,round_trip,39,1221300,True,,1KB,
aio-pika,round_trip,40,1283800,True,,1KB,
aio-pika,round_trip,41,1305700,True,,1KB,
aio-pika,round_trip,42,1237500,True,,1KB,
aio-pika,round_trip,43,1212200,True,,1KB,
aio-pika,round_trip,44,1198700,True,,1KB,
aio-pika,round_trip,45,1266500,True,,1KB,
aio-pika,round_trip,46,1190100,True,,1KB,
aio-pika,round_trip,47,1171100,True,,1KB,
aio-pika,round_trip,48,1148800,True,,1KB,
aio-pika,round_trip,49,1219200,True,,1KB,
aio-pika,concurrent_publish,0,34449000,True,,1KB,1.0
aio-pika,concurrent_publish,1,28398000,True,,1KB,1.0
aio-pika,concurrent_publish,0,32642800,True,,1KB,4.0
aio-pika,concurrent_publish,1,39431200,True,,1KB,4.0
aio-pika,concurrent_publish,0,29755900,True,,1KB,16.0
aio-pika,concurrent_publish,1,34662300,True,,1KB,16.0
aio-pika,concurrent_consume,0,329293200,True,,1KB,1.0
aio-pika,concurrent_consume,1,318529900,True,,1KB,1.0
aio-pika,concurrent_consume,0,320980900,True,,1KB,4.0
aio-pika,concurrent_consume,1,322701800,True,,1KB,4.0
aio-pika,concurrent_consume,0,320170600,True,,1KB,16.0
aio-pika,concurrent_consume,1,320011900,True,,1KB,16.0
